name,platform,release_date,meta_score,user_review,genre,target_age
Streets of Rage 4,Switch,30-Apr-20,87.2,8.58,Survival,T
Huntdown,Switch,12-May-20,86.3,8.51,Platformer,T
Super Mega Baseball 3,Switch,13-May-20,87,7.76,Sports,E
Bug Fables: The Everlasting Sapling,Switch,28-May-20,85.2,8.47,ARPG,E
Xenoblade Chronicles: Definitive Edition,Switch,29-May-20,89.3,9.01,ARPG,T
Heroes of Hammerwatch - Ultimate Edition,Switch,29-Jul-20,84.9,7.35,ARPG,T
Factorio,PC,14-Aug-20,90.6,9.11,Tycoon,E10+
Microsoft Flight Simulator,PC,18-Aug-20,90.9,7.16,Simulation,E
A Short Hike,Switch,18-Aug-20,88.4,8.66,Adventure,E
Crusader Kings III,PC,01-Sep-20,90.8,8.38,RTS,M
Ori and the Will of the Wisps,Switch,17-Sep-20,92.7,8.7,Metroidvania,E
Hades,PC,17-Sep-20,92.8,8.89,Roguelike,T
Hades,Switch,17-Sep-20,93.3,8.96,Roguelike,T
Spelunky 2,PC,29-Sep-20,90.8,6.7,Platformer,T
Pikmin 3 Deluxe,Switch,30-Oct-20,85.1,8.36,RTS,E10+
Demon`s Souls,PlayStation,11-Nov-20,92,8.14,ARPG,M
Grindstone,Switch,15-Dec-20,86.6,7.86,Puzzle,T
Super Mario 3D World + Bowser`s Fury,Switch,12-Feb-21,89.5,8.71,Platformer,E
Overcooked! All You Can Eat,Switch,23-Mar-21,88.1,7.46,Compilation,E
Tony Hawk`s Pro Skater 1 + 2,PlayStation,26-Mar-21,90.2,8.61,Sports,T
Monster Hunter Rise,Switch,26-Mar-21,88.2,8.95,ARPG,T
Disco Elysium: The Final Cut,PC,30-Mar-21,97.1,8.27,RPG,M
The House in Fata Morgana - Dreams of the Revenants Edition -,Switch,09-Apr-21,97.1,8.23,Visual Novels,M
Fez,Switch,14-Apr-21,88,6.92,Platformer,E
There is no game : Wrong dimension,Switch,14-Apr-21,86.9,8.03,Point-and-Click,E10+
Sumire,Switch,27-May-21,86,8.21,Adventure,E
Overboard!,Switch,02-Jun-21,85.8,8.04,Adventure,T
Final Fantasy VII Remake Intergrade,PlayStation,10-Jun-21,89,8.34,ARPG,T
Tony Hawk`s Pro Skater 1 + 2,Switch,25-Jun-21,85.3,7.03,Sports,T
Doki Doki Literature Club Plus!,Switch,30-Jun-21,85.2,8.33,Visual Novels,M
The Great Ace Attorney Chronicles,Switch,27-Jul-21,87.1,7.31,Compilation,T
Bustafellows,Switch,30-Jul-21,85.8,7.76,Visual Novels,M
Hades,PlayStation,13-Aug-21,92.8,8.68,Roguelike,T
Quake Remastered,Switch,19-Aug-21,87.3,8.16,FPS,M
Tetris Effect: Connected,Switch,08-Oct-21,94.7,8.49,Puzzle,E
Metroid Dread,Switch,08-Oct-21,88.9,8.76,Metroidvania,T
Disco Elysium: The Final Cut,Switch,12-Oct-21,87.1,8.74,RPG,M
Final Fantasy XIV: Endwalker,PlayStation,07-Dec-21,89.8,8.19,JRPG,T
God of War,PC,14-Jan-22,92.9,9.13,Adventure,M
Elden Ring,PC,25-Feb-22,93.5,8.03,ARPG,M
Elden Ring,PlayStation,25-Feb-22,96.1,8.01,ARPG,M
13 Sentinels: Aegis Rim,Switch,12-Apr-22,87.7,8.79,Adventure,T
The Stanley Parable: Ultra Deluxe,PC,27-Apr-22,90.1,8.29,Adventure,T
Neon White,Switch,16-Jun-22,87.7,8.06,FPS,T
Neon White,PC,16-Jun-22,89.2,8.42,FPS,T
Portal: Companion Collection,Switch,28-Jun-22,94.7,9.26,FPS,E10+
Cuphead in the Delicious Last Course,Switch,30-Jun-22,87.8,8.84,Platformer,E10+
I Was a Teenage Exocolonist,PC,25-Aug-22,90.9,7.91,Card Battle,T
The Legend of Heroes: Trails from Zero,PC,27-Sep-22,89.8,7.62,JRPG,T
Tunic,Switch,27-Sep-22,87.9,7.8,Open-World,E10+
NieR: Automata - The End of YoRHa Edition,Switch,06-Oct-22,88.5,7.55,ARPG,M
Persona 5 Royal,Switch,21-Oct-22,94.2,8.23,JRPG,M
Persona 5 Royal,PlayStation,21-Oct-22,91,8.64,JRPG,M
Persona 5 Royal,PC,21-Oct-22,95,8.64,JRPG,M
God of War: Ragnarok,PlayStation,09-Nov-22,93.8,8.08,Adventure,M
Atari 50: The Anniversary Celebration,Switch,11-Nov-22,89,7.9,Compilation,T
Chained Echoes,Switch,08-Dec-22,90.5,8.58,JRPG,M
Chained Echoes,PC,08-Dec-22,90.9,8.63,JRPG,M
The Witcher 3: Wild Hunt - Complete Edition,PlayStation,14-Dec-22,94.2,8.82,ARPG,M
Persona 4 Golden,Switch,19-Jan-23,89.9,8.7,JRPG,M
Hi-Fi Rush,PC,25-Jan-23,89.7,8.92,Platformer,T
Pizza Tower,PC,26-Jan-23,88.7,8.75,Platformer,T
Dead Space,PlayStation,27-Jan-23,89,8.72,Survival,M
Metroid Prime Remastered,Switch,08-Feb-23,94,8.78,FPS,T
Moss: Book II,PlayStation,22-Feb-23,89.9,7.27,Adventure,E10+
Tetris Effect: Connected,PlayStation,22-Feb-23,92.6,8.27,Puzzle,E
Resident Evil 4,PC,24-Mar-23,91.1,8.11,Survival,M
Resident Evil 4,PlayStation,24-Mar-23,92.8,8.1,Survival,M
Xenoblade Chronicles 3: Expansion Pass Wave 4 - Future Redeemed,Switch,25-Apr-23,92.3,9.13,ARPG,T
The Legend of Zelda: Tears of the Kingdom,Switch,12-May-23,96,8.39,Open-World,E10+
Street Fighter 6,PC,02-Jun-23,92.3,6.92,Fighting,T
Street Fighter 6,PlayStation,02-Jun-23,92.4,6.96,Fighting,T
Jack Jeanne,Switch,15-Jun-23,89.8,7.72,Visual Novel,T
Rogue Legacy 2,PlayStation,20-Jun-23,89.9,7.43,Roguelike,E10+
DAVE THE DIVER,PC,28-Jun-23,89.8,8.32,Adventure,E10+
DAVE THE DIVER,PlayStation,28-Jun-23,90.7,8.86,Adventure,E10+
Ghost Trick: Phantom Detective,PC,30-Jun-23,89.7,9.54,Adventure,T
Xenoblade Chronicles 3,Switch,29-Jul-23,89.1,8.47,ARPG,T
VIDEOVERSE,PC,07-Aug-23,90.4,6.8,Adventure,M
Vampire Survivors,Switch,17-Aug-23,88.2,8.3,Top-Down Shoot-`Em-Up,T
The Making of Karateka,Switch,29-Aug-23,90.4,7.4,Action,E10+
Sea of Stars,Switch,29-Aug-23,90.2,7.72,JRPG,E10+
Resident Evil 4: Separate Ways,PC,21-Sep-23,89,9.07,Survival,M
Cyberpunk 2077: Phantom Liberty,PC,26-Sep-23,88.6,7.4,ARPG,M
Cocoon,PlayStation,29-Sep-23,90.2,7.85,Adventure,T
Baldur`s Gate 3,PC,03-Oct-23,96.3,8.92,RPG,M
Baldur`s Gate 3,PlayStation,03-Oct-23,95.6,8.87,RPG,M
Marvel`s Spider-Man 2,PlayStation,20-Oct-23,90.2,8.88,Open-World,T
Super Mario Bros. Wonder,Switch,20-Oct-23,92.4,9.07,Platformer,E
